Backend Endpoint	Method	Implemented in	Frontend Usage
/	GET	modules/financehub/backend/app_factory.py	NOT_USED
/api/v1/ai/models	GET	modules/financehub/backend/api/endpoints/ai/models.py	USED
/api/v1/ai/models/	GET	modules/financehub/backend/api/endpoints/ai/models.py	NOT_USED
/api/v1/auth/callback	GET	modules/financehub/backend/api/endpoints/auth/__init__.py	NOT_USED
/api/v1/auth/login	GET	modules/financehub/backend/api/endpoints/auth/__init__.py	NOT_USED
/api/v1/auth/logout	POST	modules/financehub/backend/api/endpoints/auth/__init__.py	USED
/api/v1/auth/status	GET	modules/financehub/backend/api/endpoints/auth/__init__.py	NOT_USED
/api/v1/config/deep	POST	modules/financehub/backend/api/endpoints/config/__init__.py	NOT_USED
/api/v1/config/language	POST	modules/financehub/backend/api/endpoints/config/__init__.py	NOT_USED
/api/v1/config/model	POST	modules/financehub/backend/api/endpoints/config/__init__.py	USED
/api/v1/crypto/symbols	GET	modules/financehub/backend/api/endpoints/crypto/crypto.py	USED
/api/v1/crypto/{symbol}	GET	modules/financehub/backend/api/endpoints/crypto/crypto.py	USED
/api/v1/eodhd/{ticker}/{dataset}	GET	modules/financehub/backend/api/endpoints/eodhd/__init__.py	NOT_USED
/api/v1/health	GET	modules/financehub/backend/app_factory.py	NOT_USED
/api/v1/health	GET	modules/financehub/backend/api/__init__.py	NOT_USED
/api/v1/macro/bubor	GET	modules/financehub/backend/api/endpoints/macro/bubor.py	NOT_USED
/api/v1/macro/bubor/	GET	modules/financehub/backend/api/endpoints/macro/bubor.py	USED
/api/v1/macro/curve/{source}	GET	modules/financehub/backend/api/endpoints/macro/curve.py	NOT_USED
/api/v1/macro/ecb/bls/	GET	modules/financehub/backend/api/endpoints/macro/ecb/bls.py	USED
/api/v1/macro/ecb/bop/	GET	modules/financehub/backend/api/endpoints/macro/ecb/bop.py	NOT_USED
/api/v1/macro/ecb/bop/components	GET	modules/financehub/backend/api/endpoints/macro/ecb/bop.py	NOT_USED
/api/v1/macro/ecb/bop/health	GET	modules/financehub/backend/api/endpoints/macro/ecb/bop.py	NOT_USED
/api/v1/macro/ecb/bsi/	GET	modules/financehub/backend/api/endpoints/macro/ecb/bsi.py	NOT_USED
/api/v1/macro/ecb/cbd/	GET	modules/financehub/backend/api/endpoints/macro/ecb/cbd.py	USED
/api/v1/macro/ecb/ciss/	GET	modules/financehub/backend/api/endpoints/macro/ecb/ciss.py	USED
/api/v1/macro/ecb/comprehensive	GET	modules/financehub/backend/api/endpoints/macro/ecb/comprehensive.py	USED
/api/v1/macro/ecb/cpp	GET	modules/financehub/backend/api/endpoints/macro/ecb/cpp.py	NOT_USED
/api/v1/macro/ecb/cpp/	GET	modules/financehub/backend/api/endpoints/macro/ecb/cpp.py	USED
/api/v1/macro/ecb/fx	GET	modules/financehub/backend/api/endpoints/macro/ecb/fx.py	USED
/api/v1/macro/ecb/fx/legacy	GET	modules/financehub/backend/api/endpoints/macro/ecb/fx.py	NOT_USED
