Endpoint	Method	Implemented in	Status
/	GET	modules/financehub/backend/app_factory.py	🛈 ready
/api/v1/ai/models	GET	modules/financehub/backend/api/endpoints/ai/models.py	🛈 ready
/api/v1/auth/callback	GET	modules/financehub/backend/api/endpoints/auth.py	🛈 ready
/api/v1/auth/login	GET	modules/financehub/backend/api/endpoints/auth.py	✅ used
/api/v1/auth/logout	POST	modules/financehub/backend/api/endpoints/auth.py	✅ used
/api/v1/auth/status	GET	modules/financehub/backend/api/endpoints/auth.py	✅ used
/api/v1/callback	GET	modules/financehub/backend/api/endpoints/auth.py	🛈 ready
/api/v1/chart/{ticker}/chart	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chart/chart_data.py	🛈 ready
/api/v1/chat/finance	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/chat/{ticker}	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/chat/{ticker}/stream	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/crypto/symbols	GET	modules/financehub/backend/api/endpoints/crypto/crypto.py	📝 planned
/api/v1/crypto/{symbol}	GET	modules/financehub/backend/api/endpoints/crypto/crypto.py	📝 planned
/api/v1/finance	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/fundamentals/{ticker}/fundamentals	GET	modules/financehub/backend/api/endpoints/stock_endpoints/fundamentals/fundamentals_stock.py	🛈 ready
/api/v1/health	GET	modules/financehub/backend/app_factory.py	🛈 ready
/api/v1/login	GET	modules/financehub/backend/api/endpoints/auth.py	🛈 ready
/api/v1/logout	POST	modules/financehub/backend/api/endpoints/auth.py	🛈 ready
/api/v1/macro/all	GET	modules/financehub/backend/api/endpoints/macro/rates.py	🛈 ready
/api/v1/macro/bubor	GET	modules/financehub/backend/api/endpoints/macro/bubor.py	🛈 ready
/api/v1/macro/curve/{source}	GET	modules/financehub/backend/api/endpoints/macro/rates.py	🛈 ready
/api/v1/macro/ecb/monetary-policy	GET	modules/financehub/backend/api/endpoints/macro/ecb.py	🛈 ready
/api/v1/macro/ecb/rates	GET	modules/financehub/backend/api/endpoints/macro/ecb.py	🛈 ready
/api/v1/macro/ecb/yield-curve	GET	modules/financehub/backend/api/endpoints/macro/ecb.py	🛈 ready
/api/v1/macro/forex/pairs	GET	modules/financehub/backend/api/endpoints/macro/forex.py	🛈 ready
/api/v1/macro/forex/{pair}	GET	modules/financehub/backend/api/endpoints/macro/forex.py	🛈 ready
/api/v1/macro/rates/all	GET	modules/financehub/backend/api/endpoints/macro/rates.py	✅ used
/api/v1/market/news	GET	modules/financehub/backend/api/market_data.py	🛈 ready
/api/v1/news	GET	modules/financehub/backend/api/market_data.py	🛈 ready
/api/v1/news/{ticker}/news	GET	modules/financehub/backend/api/endpoints/stock_endpoints/news/news_stock.py	🛈 ready
/api/v1/premium/ai_summary/{ticker}/summary	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/ai_summary/router.py	🛈 ready
/api/v1/premium/technical-analysis/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/technical_analysis/technical_analysis_stock.py	🛈 ready
/api/v1/premium/technical_analysis/technical-analysis/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/technical_analysis/technical_analysis_stock.py	🛈 ready
/api/v1/premium/{ticker}/summary	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/ai_summary/router.py	🛈 ready
/api/v1/search	GET	modules/financehub/backend/api/endpoints/stock_endpoints/search/search_stock.py	🛈 ready
/api/v1/status	GET	modules/financehub/backend/api/endpoints/auth.py	🛈 ready
/api/v1/stock/finance	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/stock/premium/technical-analysis/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/technical_analysis/technical_analysis_stock.py	🛈 ready
/api/v1/stock/premium/{ticker}/summary	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/ai_summary/router.py	🛈 ready
/api/v1/stock/search	GET	modules/financehub/backend/api/endpoints/stock_endpoints/search/search_stock.py	✅ used
/api/v1/stock/{ticker}	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/stock/{ticker}/chart	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chart/chart_data.py	🛈 ready
/api/v1/stock/{ticker}/fundamentals	GET	modules/financehub/backend/api/endpoints/stock_endpoints/fundamentals/fundamentals_stock.py	🛈 ready
/api/v1/stock/{ticker}/news	GET	modules/financehub/backend/api/endpoints/stock_endpoints/news/news_stock.py	🛈 ready
/api/v1/stock/{ticker}/stream	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
/api/v1/stock_header/header/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/stock_header/stock_header.py	🛈 ready
/api/v1/ticker_tape/ticker-tape	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	🛈 ready
/api/v1/ticker_tape/ticker-tape/item	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	🛈 ready
/api/v1/{ticker}	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	🛈 ready
