Backend Endpoint	Method	Implemented in	Frontend Usage
/	GET	modules/financehub/backend/app_factory.py	NOT_USED
/api/v1/health	GET	modules/financehub/backend/app_factory.py	NOT_USED
/api/v1/macro/bubor/	GET	modules/financehub/backend/api/endpoints/macro/bubor.py	NOT_USED
/api/v1/macro/ecb/bop/	GET	modules/financehub/backend/api/endpoints/macro/ecb/bop.py	NOT_USED
/api/v1/macro/ecb/bop/components	GET	modules/financehub/backend/api/endpoints/macro/ecb/bop.py	NOT_USED
/api/v1/macro/ecb/bop/health	GET	modules/financehub/backend/api/endpoints/macro/ecb/bop.py	NOT_USED
/api/v1/macro/ecb/comprehensive	GET	modules/financehub/backend/api/endpoints/macro/ecb/comprehensive.py	NOT_USED
/api/v1/macro/ecb/fx	GET	modules/financehub/backend/api/endpoints/macro/ecb/fx.py	NOT_USED
/api/v1/macro/ecb/fx/legacy	GET	modules/financehub/backend/api/endpoints/macro/ecb/fx.py	NOT_USED
/api/v1/macro/ecb/historical-yield-curve	GET	modules/financehub/backend/api/endpoints/macro/ecb/yield_curve.py	NOT_USED
/api/v1/macro/ecb/inflation	GET	modules/financehub/backend/api/endpoints/macro/ecb/comprehensive.py	NOT_USED
/api/v1/macro/ecb/monetary-aggregates	GET	modules/financehub/backend/api/endpoints/macro/ecb/comprehensive.py	NOT_USED
/api/v1/macro/ecb/monetary-policy	GET	modules/financehub/backend/api/endpoints/macro/ecb/rates.py	NOT_USED
/api/v1/macro/ecb/rates	GET	modules/financehub/backend/api/endpoints/macro/ecb/rates.py	NOT_USED
/api/v1/macro/ecb/retail-rates	GET	modules/financehub/backend/api/endpoints/macro/ecb/rates.py	NOT_USED
/api/v1/macro/ecb/sts/	GET	modules/financehub/backend/api/endpoints/macro/ecb/sts.py	NOT_USED
/api/v1/macro/ecb/sts/health	GET	modules/financehub/backend/api/endpoints/macro/ecb/sts.py	NOT_USED
/api/v1/macro/ecb/sts/indicators	GET	modules/financehub/backend/api/endpoints/macro/ecb/sts.py	NOT_USED
/api/v1/macro/ecb/sts/latest	GET	modules/financehub/backend/api/endpoints/macro/ecb/sts.py	NOT_USED
/api/v1/macro/ecb/yield-curve	GET	modules/financehub/backend/api/endpoints/macro/ecb/yield_curve.py	NOT_USED
/api/v1/macro/ecb/yield-curve/lite	GET	modules/financehub/backend/api/endpoints/macro/ecb/yield_curve.py	NOT_USED
/api/v1/macro/forex/pairs	GET	modules/financehub/backend/api/endpoints/macro/forex.py	NOT_USED
/api/v1/macro/forex/{pair}	GET	modules/financehub/backend/api/endpoints/macro/forex.py	NOT_USED
/api/v1/macro/rates/all	GET	modules/financehub/backend/api/endpoints/macro/rates.py	NOT_USED
/api/v1/macro/yield-curve/	GET	modules/financehub/backend/api/endpoints/macro/__init__.py	NOT_USED
/api/v1/stock/chat/finance	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	NOT_USED
/api/v1/stock/chat/{ticker}	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	NOT_USED
/api/v1/stock/chat/{ticker}/stream	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	NOT_USED
/api/v1/stock/premium/technical-analysis/quote/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/technical_analysis/technical_analysis_stock.py	NOT_USED
/api/v1/stock/premium/technical-analysis/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/technical_analysis/technical_analysis_stock.py	NOT_USED
/api/v1/stock/premium/technical-analysis/{ticker}/full	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/technical_analysis/technical_analysis_stock.py	NOT_USED
/api/v1/stock/premium/{ticker}/summary	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/ai_summary/router.py	NOT_USED
/api/v1/stock/search	GET	modules/financehub/backend/api/endpoints/stock_endpoints/search/search_stock.py	NOT_USED
/api/v1/stock/ticker-tape/	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	NOT_USED
/api/v1/stock/ticker-tape/item	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	NOT_USED
/api/v1/stock/{ticker}/chart	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chart/chart_data.py	NOT_USED
/api/v1/stock/{ticker}/fundamentals	GET	modules/financehub/backend/api/endpoints/stock_endpoints/fundamentals/fundamentals_stock.py	NOT_USED
/api/v1/stock/{ticker}/news	GET	modules/financehub/backend/api/endpoints/stock_endpoints/news/news_stock.py	NOT_USED
/metrics/metrics	GET	modules/financehub/backend/core/metrics/prometheus_exporter.py	NOT_USED
